drug_a,drug_b,severity,mechanism,description
oxycodone,alprazolam,Major,Additive CNS and respiratory depression,"Combining an opioid with a benzodiazepine can cause profound sedation, slowed breathing, coma, and death. The FDA carries a boxed warning against this combination."
oxycodone,diazepam,Major,Additive CNS and respiratory depression,"Opioid plus benzodiazepine markedly raises the risk of over-sedation and dangerously slow breathing. FDA boxed warning applies."
oxycodone,lorazepam,Major,Additive CNS and respiratory depression,"Opioid plus benzodiazepine markedly raises the risk of over-sedation and dangerously slow breathing. FDA boxed warning applies."
oxycodone,clonazepam,Major,Additive CNS and respiratory depression,"Opioid plus benzodiazepine markedly raises the risk of over-sedation and dangerously slow breathing. FDA boxed warning applies."
hydrocodone,alprazolam,Major,Additive CNS and respiratory depression,"Opioid plus benzodiazepine markedly raises the risk of over-sedation and dangerously slow breathing. FDA boxed warning applies."
hydrocodone,diazepam,Major,Additive CNS and respiratory depression,"Opioid plus benzodiazepine markedly raises the risk of over-sedation and dangerously slow breathing. FDA boxed warning applies."
morphine,diazepam,Major,Additive CNS and respiratory depression,"Opioid plus benzodiazepine markedly raises the risk of over-sedation and dangerously slow breathing. FDA boxed warning applies."
morphine,lorazepam,Major,Additive CNS and respiratory depression,"Opioid plus benzodiazepine markedly raises the risk of over-sedation and dangerously slow breathing. FDA boxed warning applies."
fentanyl,alprazolam,Major,Additive CNS and respiratory depression,"Opioid plus benzodiazepine markedly raises the risk of over-sedation and dangerously slow breathing. FDA boxed warning applies."
fentanyl,midazolam,Major,Additive CNS and respiratory depression,"Opioid plus benzodiazepine markedly raises the risk of over-sedation and dangerously slow breathing. FDA boxed warning applies."
tramadol,alprazolam,Major,Additive CNS and respiratory depression,"Opioid plus benzodiazepine raises the risk of over-sedation and slowed breathing; tramadol also adds seizure and serotonin risk."
codeine,diazepam,Major,Additive CNS and respiratory depression,"Opioid plus benzodiazepine markedly raises the risk of over-sedation and dangerously slow breathing. FDA boxed warning applies."
methadone,alprazolam,Major,Additive CNS and respiratory depression,"Methadone plus a benzodiazepine is especially dangerous for slowed breathing and death; methadone also prolongs the QT interval."
